idx,dataset,example_id,prompt_id,source,subject,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx
civ0001,workshop_civpro,civ0001,civ0001,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,1,"A corporation filed a breach of contract action against another corporation in the United States District Court for the District of State A on the basis of diversity of citizenship jurisdiction. The action seeks $80,000 in damages. The plaintiff corporation was incorporated in State B and has its principal place of business in State C. The defendant corporation was incorporated in State C and has its principal place of business in State A. The defendant corporation filed a motion to dismiss the action for lack of subject matter jurisdiction. Will the defendant corporation’s motion be granted?","Yes, because both corporations are citizens of State C.","Yes, because the defendant corporation is a citizen of the state in which the action was filed.","No, because the plaintiff corporation is a citizen of State C and the defendant corporation is a citizen of State A.","No, because, while both corporations are citizens of State C, the plaintiff corporation is also a citizen of State B and the defendant corporation is also a citizen of State A.","D",,civ0001
civ0002,workshop_civpro,civ0002,civ0002,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,2,"A building materials supplier, who is a citizen of State A, and a contractor, who is a citizen of State B, had a contract dispute. The contractor drove to the supplier’s home in State A to discuss possible settlement of the dispute. The discussions were not successful. As the contractor backed out of the supplier’s driveway, the contractor accidently hit the supplier’s car, damaging it significantly. The supplier sued the contractor in federal court, asserting both a breach of contract claim and a negligence claim for the damage done to the supplier’s car. The supplier’s complaint seeks $71,000 in damages for breach of contract and $5,000 in damages to pay the cost of repairs to the car. Does the federal court have subject matter jurisdiction over the supplier’s action?","Yes, because the amounts of the supplier’s two claims may be aggregated and thus meet the amount in controversy requirement.","Yes, because the supplier’s two claims are related and therefore may be aggregated to satisfy the amount in controversy requirement.","No, because the supplier’s two claims do not arise from the same transaction or occurrence and therefore may not be aggregated to satisfy the amount in controversy requirement.","No as to the negligence claim but yes as to the breach of contract claim.","A",,civ0002
civ0003,workshop_civpro,civ0003,civ0003,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,,"3A driver was killed in a two-car accident in State A. The deceased driver was a citizen of State B, and the driver of the other car is a citizen of State A. The executor of the deceased driver’s estate filed a negligence action in federal district court on behalf of the deceased driver against the State A driver, seeking $250,000. The executor is a citizen of State A. Does the federal court have diversity of citizenship jurisdiction over this action?","No, because the executor and the defendant are both citizens of State A.","No, because federal courts will not exercise diversity of citizenship jurisdiction over probate matters.","Yes, because the executor of the plaintiff’s estate is a citizen of State A and the deceased plaintiff is a citizen of State B.","Yes, because the deceased plaintiff was a citizen of State B and the defendant is a citizen of State A.","A",,civ0003
civ0004,workshop_civpro,civ0004,civ0004,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,4,"A seller entered a contract with a buyer under which the buyer agreed to purchase certain corporate securities for $500,000. The buyer refused to go through with the purchase, contending that the entire transaction was void because of federal securities statutes. The seller thus sold the securities to another party but was able to sell them for only $420,000. The seller filed an action against the buyer in federal district court, alleging that the transaction did not violate federal securities statutes and seeking $80,000 for the buyer’s breach of contract. The seller and the buyer are both citizens of the same state. Does the federal court have subject matter jurisdiction over the action?","Yes, because the action raises the federal issue of whether the transaction violated federal securities statutes.","Yes, because the amount in controversy exceeds the required minimum for purposes of federal question jurisdiction.","No, because the buyer and seller are citizens of the same state and the action does not arise under federal law.","No, because the amount in controversy for purposes of federal question jurisdiction is not sufficient.","C",,civ0004
civ0005,workshop_civpro,civ0005,civ0005,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,5,"A citizen of State A filed a breach of contract action against a citizen of State B in a State A state trial court. The State B defendant timely and properly removed the action to the United States District Court for the District of State A. The defendant then filed a motion to dismiss the action based on insufficient service of process. Following a hearing, the court found that service was proper and denied the motion. The defendant then filed her answer, responding to the merits of the complaint and asserting that the case should be dismissed on the grounds that another action was pending between the same parties for the same cause in a State B state court. The State A Rules of Civil Procedure provide that a party waives the right to seek dismissal on that ground if the party files a pre-answer motion to dismiss and does not assert that ground in the motion. Should the federal court hold that the defendant has waived the right to seek dismissal based on the pendency of the same cause in another court?","Yes, because this action was commenced in a State A state court, so the federal court must apply State A law.","Yes, because this action is in a federal court in State A on the basis of the court’s diversity of citizenship jurisdiction, so the federal court must apply State A law.","No, because this issue is unlikely to affect the outcome of the action or to create forum-shopping, so the federal court should apply federal law, under which the defendant has not waived this defense.","No, because this issue is governed by the Federal Rules of Civil Procedure, under which the defendant has not waived this defense.","D",,civ0005
civ0006,workshop_civpro,civ0006,civ0006,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,6,"A researcher and an analyst had employment contracts with a corporation. The corporation fired them because it believed they had conspired to give its trade secrets to a competitor. Knowing that the conspiracy allegations were not true, the researcher and the analyst sued the corporation in federal district court for breach of their employment contracts. The researcher seeks $100,000 in damages and the analyst seeks $50,000. They are both citizens of State A. The corporation is incorporated in State B, and its principal place of business is in State B. Does the federal district court have subject matter jurisdiction over both of the claims?","Yes, the court has diversity of citizenship jurisdiction over both claims because the amounts of their related claims may be aggregated to satisfy the amount in controversy requirement.","Yes, the court has diversity of citizenship jurisdiction over the researcher’s $100,000 claim and supplemental jurisdiction over the analyst’s $50,000 claim.","No, the court does not have subject matter jurisdiction over the analyst’s $50,000 claim because the claims of both plaintiffs may not be aggregated to satisfy the amount in controversy requirement.","No, the court does not have subject matter jurisdiction over either claim because the breach of contract claim is based on state law.","B",,civ0006
civ0007,workshop_civpro,civ0007,civ0007,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,7,"A pedestrian was injured in a car accident involving two cars. The pedestrian filed a negligence action against both drivers in federal district court, seeking to hold them jointly and severally liable for $500,000. The pedestrian is a citizen of State A, and both drivers are citizens of State B. The first driver then asserted a cross-claim against the second driver, claiming that the second driver’s negligence was the sole cause of the accident and seeking to recover from the second driver $15,000 for the damage done to the first driver’s car. Does the federal court have subject matter jurisdiction over the cross-claim?","No, because the cross-claim is between two citizens of the same state.","No, because the amount of the cross-claim is too small.","No, because there is no supplemental jurisdiction over the cross-claim unless it is related to a federal question claim asserted in the same action, and there is no federal question claim.","Yes, the court has supplemental jurisdiction over the cross-claim.","D",,civ0007
civ0008,workshop_civpro,civ0008,civ0008,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,8,"An investor filed a civil action against her broker in a State A state court seeking $30,000 for violation of federal securities statutes. The investor is a citizen of State B and the broker is a citizen of State A. May the broker remove the action to federal district court?","No, because the amount in controversy is too small for federal subject matter jurisdiction.","No, because the defendant is a citizen of the state from whose court the action is removed.","Yes, the broker may remove the action to federal district court on the basis of federal question jurisdiction.","Yes, the broker may remove the action to federal district court on the basis of federal diversity of citizenship jurisdiction.","C",,civ0008
civ0009,workshop_civpro,civ0009,civ0009,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,9,"A car buyer, a resident of State A, wished to purchase a new car. After shopping both online and in person for the best price, the buyer decided to purchase a car from a dealer in State B. The buyer drove to the State B dealership, signed a sales contract, paid for the car, and drove the car back home to State A. Three months later, the buyer was in an accident in State A while driving the new car. The other driver in the accident was a resident of State B who was just passing through State A. The other driver filed a negligence action against the buyer in a court in State B. Does the buyer have sufficient contacts with State B such that a State B court could exercise personal jurisdiction over the buyer for the negligence action?","Yes, because the buyer had purposeful contacts with State B.","No, because the other driver’s claim does not arise from the buyer’s contacts with State B, and the contacts are insufficient to create general personal jurisdiction.","No, because the buyer did not benefit in any way from the contacts with State B.","No, because the buyer’s contacts with State B were not purposeful.","B",,civ0009
civ0010,workshop_civpro,civ0010,civ0010,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,10,"A hunter residing in State A visited a website created and operated by a hunting equipment company. The company is a State B corporation, and its headquarters and all its facilities are in State B. It sells its products in several stores in State B and through its website. Its marketing efforts and most of its sales are in State A and State B. Using the company’s website, the hunter ordered a hunting stand. The hunter paid for the stand and shipment to State A by providing his credit card information on the company’s website. After the stand arrived at the hunter’s home in State A, the hunter used the stand while on a hunting trip in State C—a very popular hunting destination. The stand collapsed, causing severe injuries to the hunter. The hunter filed a products liability action against the company in a State C court. The company filed a motion to dismiss the action on the ground that the State C court lacks personal jurisdiction over it. Although the company’s website is accessible in State C, the company does not otherwise advertise there, and it does no business there. There is no evidence that the company has sold any products in State C. Does the company have sufficient contacts with State C such that a State C court may exercise personal jurisdiction over it?","Yes, because the company’s website is continuously accessible in State C so that people there may purchase products from the company at any time.","Yes, because the company could foresee that its customers would carry the company’s hunting products on hunting trips to other states—particularly states where hunting is popular.","No, because personal jurisdiction cannot be based on Internet contacts.","No, because the company does not have sufficient purposeful contacts with State C.","D",,civ0010
civ0011,workshop_civpro,civ0011,civ0011,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,11,"An automobile crash victim intends to file a negligence action based on diversity of citizenship jurisdiction against a driver in federal court for injuries sustained in an automobile accident that occurred in State A. The victim resides in State B, and the driver resides in State C. State A, State B, and State C all have only a single federal judicial district. In which federal district court(s) is venue proper?","The District of State A only.","The District of State C only.","The District of State A and the District of State C.","The District of State A, the District of State B, and the District of State C.","C",,civ0011
civ0012,workshop_civpro,civ0012,civ0012,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,12,"A zoologist was moving to State A from State B, where she had lived her entire life. She was driving a truck and trailer that contained all of her possessions across the country when she was involved in a severe accident in State C. After being released from the hospital, but before suit was filed, the zoologist proceeded to State A, where she rented an apartment and found a job. The driver of an automobile involved in the severe accident intends to file a negligence action against the zoologist in federal district court. The driver is a citizen and resident of State D. In which federal district(s) is venue proper?","The District of State C only.","The District of State C and the District of State B.","The District of State C and the District of State A only.","The District of State C, the District of State D, and the District of State A.","C",,civ0012
civ0013,workshop_civpro,civ0013,civ0013,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,13,"A plaintiff from State A filed a breach of contract action in a federal court in State B. The defendant in the action is a State B corporation. The corporation’s president and registered agent, the only officer having express authority to receive service of process on behalf of the corporation, was out of the country for several months. State B’s rules of civil procedure, however, authorize service on a corporation by serving any “officer, managing or general agent, or any agent authorized to receive service.” State B’s rules also authorize service of process by certified mail. The plaintiff thus sent the summons and complaint to the defendant corporation’s only vice president, who resides in State B. The vice president signed the certified mail return receipt. If the corporation files a motion to dismiss the action for improper service of process, how should the court rule?","Deny the motion, because service of process was proper.","Deny the motion, because the defendant waived service of process by allowing its only agent authorized to receive service to leave the country.","Grant the motion, because, despite what state rules allow, service on a corporation sued in federal court must be on the officer or agent of the corporation who is authorized by the corporation to receive service on behalf of the corporation.","Grant the motion, because, despite what state rules allow, service on a corporation sued in federal court may not be made by certified mail.","A",,civ0013
civ0014,workshop_civpro,civ0014,civ0014,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,14,"After filing her complaint in federal district court, a plaintiff mailed to a defendant by ordinary first-class mail the following: duly executed copies of the complaint and summons, a request that the defendant waive service of process, two copies of a waiver-of-service form, and an addressed, prepaid return envelope. The defendant signed the waiver-of-service form and returned a copy to the plaintiff. Fifty days after the plaintiff mailed the forms to the defendant and 25 days after the defendant returned the signed form to the plaintiff, the plaintiff filed a motion for entry of default and a default judgment. The following day, the defendant filed and served his answer. Was the defendant’s answer timely?","No, because the defendant may no longer file an answer once the time for filing a response to a complaint has expired and the plaintiff has filed a motion for default judgment.","No, because the Federal Rules of Civil Procedure require a defendant to file a response to a complaint within 21 days after being served with process.","Yes, because the defendant filed his answer less than 28 days after he returned the waiver of service form.","Yes, because a defendant who waives service of process is allowed additional time in which to respond to the complaint, and the time had not yet expired.","D",,civ0014
civ0015,workshop_civpro,civ0015,civ0015,698549435-CIVIL-PROCEDURE-MBE-QUESTIONS.pdf,Civil Procedure,,15,"A customer became ill from meat he purchased at the “The Corner Grocery” store in City A. The legal name of the store is “The Corner Grocery, Inc.” The customer’s attorney instituted a diversity action in federal district court, mistakenly naming as the defendant “The Corner Grocery” in City B, whose legal name is “The Corner Grocery Company, Ltd.” The two are separate legal entities, but their stock is owned by the same persons in the same proportions. The complaint specifically described the store from which the pork was purchased, including its City A address. Approximately one month after filing the complaint, and after the statute of limitations had expired, the customer’s attorney served process on an individual who is the president and 50% shareholder of both stores. The named defendant, the City B store, then filed its answer denying liability on the grounds that the customer never visited the City B store and never bought anything there. Upon learning that he had named the wrong store as defendant, the customer’s attorney filed a motion to amend the complaint to substitute the name of the correct defendant for the incorrect defendant originally named. After the court allowed the amendment, the new defendant filed an answer asserting that the claim against it was barred by the statute of limitations. In response, the customer’s attorney asserted that the amended complaint is not barred because it asserts a claim that arises from the same transaction as the original complaint and therefore relates back to the time of the original complaint. Is the amended complaint barred even though it relates back to the time of the original complaint?","No, because the customer appears to have acted in good faith and exercised reasonable care in naming the proper defendant.","No, because the new defendant received timely notice of the action so as not to be prejudiced in defending the merits and knew or should have known that the action would have been brought against it but for a mistake concerning the proper party’s identity.","Yes, because the proper defendant was not served with process within the time prescribed for service of the original complaint.","Yes, because both the original and the amended claims are barred by the statute of limitations since service of process did not occur until after the statute of limitations expired.","B",,civ0015
