idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
1,mbe,mbe_0001,prompt_0001,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,4,,"Indefiniteness or absence of terms Capacity to contract Illegality, unconscionability, and public policy Implied-in-fact contract and quasi-contract “Pre-contract” obligations based on detrimental reliance Express and implied warranties in sale-of-goods contracts THO Ow Consideration",Express,"Constructive Conditions of exchange: excuse or suspension by material breach Immaterial breach and substantial performance Independent covenants Constructive conditions of nonprevention, nonhindrance, and affirmative cooperation PYN> Fe",Impairment or extinguishment of third-party rights by contract modification or mutual rescission,Enforcement by the promisee Assignment of Rights and Delegation of Duties Statute of Frauds Parol Evidence and Interpretation Conditions,,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
2,mbe,mbe_0002,prompt_0002,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,4,,INTRODUCTORY WORKSHOP Vil. Ix. X.,Intended killings,Anticipatory repudiation,Election of substantive rights and remedies,"Specific performance; injunction against breach; declaratory judgment E. Rescission and reformation F. Measure of damages in major types of contract and breach G. Consequential damages: causation, certainty, and foreseeability H. Liquidated damages and penalties I. _ Restitutionary and reliance recoveries J. Remedial rights of defaulting parties K. Avoidable consequences and mitigation of damages Impossibility of Performance and Frustration of Purpose Discharge of Contractual Duties APPROXIMATE",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
3,mbe,mbe_0003,prompt_0003,Barbri - Drills and Released Questions - MDR (MBE - 2007),Torts,,2,,"Assumption of risk 2 3 2 Strict Liability: claims arising from abnormally dangerous activities; the rule of Rylands v. Fletcher and other common law strict liability claims; defenses Products Liability: claims against manufacturers and others based on defects in manufacture, design, and warning; defenses INTRODUCTORY WORKSHOP 13. V. Other Torts","Claims based on nuisance, and defenses",Claims based on defamation and invasion of privacy; defenses and constitutional limita- tions,"Claims based on misrepresentations, and defenses","Claims based on intentional interference with business relations, and defenses APPROXIMATE DISTRIBUTION OF QUESTIONS BY TOPIC IL Negligence: 50% I, IIL-V. Other Torts: 50% iis",,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
4,mbe,mbe_0004,prompt_0004,Barbri - Drills and Released Questions - MDR (MBE - 2007),Torts,,14,,"INTRODUCTORY WORKSHOP Step 1: Step 2: Step 3: Step 4: Step 5: Step 6: THE BAR/BRI MULTISTATE METHOD Read the call of the question and scan the answer choices to get an idea of the subject and the issues being tested. Read the facts. Pay special attention to statutes, quotes, and facts dictated by the call. Un- derline and take notes as you read. Reread the call. Analyze each answer choice. Your analysis of the answer choice(s) will vary depending on the subject matter and the form of the question. Mark each answer choice true or false. Identify the correct answer choice. Double check your answer by identifying the incorrect answer choices. Tf you do not know the answer, make an educated guess. (Return to the question after you have completed the rest of the questions.) INTRODUCTORY WORKSHOP 15. THE FORM OF THE QUESTION The questions below are arranged in order from the most common type to the least common type. DICHOTOMY: Question 1 Collector had a small collection of guns that he generally kept under lock and key, only removing the weapons to clean them or display them at gun shows. One afternoon, Collector took out a World War II vintage handgun for cleaning. He carefully cleaned and oiled the weapon and then reloaded it. Just as he had finished with the reloading, Collector received a phone call from his girlfriend inviting him to dinner. Collector drove off and left the gun on his desk. That night a thief entered Collector’s house, which was unlocked, and the gun was stolen. The next day, a convenience store lo- cated a few blocks from Collector’s house was robbed, and the robber shot and seriously injured Seller, the store owner. The robber ran from the store and dropped his handgun on the way out. The police investigation established that the gun used in the robbery was the hand- gun stolen from Collector’s home. If Seller sues Collector for his injuries, Seller will:",Defendant had been hypnotized at a party and ordered by the hypnotist to strike the person he disliked the most.,Defendant was suffering from an epileptic seizure and had no control over his motions.,Defendant was heavily intoxicated and was shadow boxing without realizing that Victim was near him.,"Defendant, who had just awakened from a deep sleep, was not fully aware of what was happening and mistakenly thought Victim was attacking him.",,,,"DBCD: Duty, Breach, Causation, Damages | Strict: dangerous activities, wild animals, products | BAFTIC: Battery, Assault, False imprisonment, Trespass, IIED, Conversion.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
5,mbe,mbe_0005,prompt_0005,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,16,,"©@©OO 17, ®@©@O©OO CONSTITUTIONAL LAW 19. Constitutional Law Question 1 St. Minny, a town with a population of 30,000, was located on the west bank of a small river. Immediately across the river, on the east bank, was Paulopolis, a city of 60,000. Over the years, many civic improvement groups urged that the two municipalities be merged into “Minnypaulos,” a single city of 90,000 souls. The arguments in favor of merger stressed savings to taxpayers accruing from the elimination of duplicate services. Proposals to merge the two places had appeared as referenda on the ballot on two separate occasions. Although the voters of Paulopolis approved each proposal by heavy margins, the voters of St. Minny, fearing that control of the government would be in the hands of more populous Paulopolis, rejected the referendum proposals by more than two to one. To avoid the failure of yet another such referendum, a new proposal was made for the governance of the proposed combined city. For a period of 20 years, beginning at the date of the merger, the city council of the merged city would consist of six persons. The former Paulopolis would be divided into three council districts, as would the former city of St. Minny. Thus, each St. Minny council representative would be elected from a district with a popula- tion of 10,000, while the Paulopolis districts would contain 20,000 persons each. A mayor would be elected at large. The proposal was placed on the ballot and was carried by large majorities in both St. Minny and Paulopolis. Representatives from Paulopolis and St. Minny carved each former city into three council electoral districts. Three Paulopolis taxpayers filed suit to enjoin the holding of an election with council districts of such disparate propor- tions. Which of the following represents the plain- tiffs’ best constitutional argument?",The government of the merged cities is not a republican form of government.,The plaintiffs and other Paulopolitans have been denied equal protection of the law.,The plaintiffs and other Paulopolitans have been denied the privileges and immunities of citizenship as guaranteed by Article IV. of the federal Constitution.,"The plaintiffs and other Paulopolitans have been denied due process of law. Questions 2-3 are based on the following fact situation: An act of Congress provides for the payment of Social Security benefits to the disabled children of deceased workers. A complex set of regulations carefully defines the meaning of the term “disabled.” The benefits are payable even after the child reaches his or her age of majority, but terminate automatically when the recipient marries, unless the recipient marries",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
6,mbe,mbe_0006,prompt_0006,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,2,,Which of the following provides the stron- gest constitutional basis for Dorit’s suit?,The privileges and immunities of national citizenship protected by the Fourteenth Amendment.,The Equal Protection Clause of the Fourteenth Amendment.,The Due Process Clause of the Fifth Amendment.,The prohibitions against bills of attainder.,,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
7,mbe,mbe_0007,prompt_0007,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,22,,"CONSTITUTIONAL LAW Question 6 The Classical School is a private school located in the state of Romanova. Under an aid- to-education statute passed by the state legisla- ture a few years ago, The Classical School and certain other private schools receive state ben- efits. Among those received by The Classical School are: (i) free textbooks from the state, (ii) an exemption from state taxes, and (iii) 20% of its operating budget in the form of state grants. The remaining 80% of The Classical School’s budget is covered by tuition fees and by dona- tions from alumni and others. The Classical School is licensed by the state, but the state has no requirement for certification and licensure of teachers in private schools. Timon was hired to teach history at The Classical School and was given the standard three-year contract given to teachers in their first stint at the school. Timon, who had been a student activist in college, was annoyed every day when he faced classes wearing the uniform required by The Classical School. Timon kept his mouth shut until he was chosen, in the fall term of his second year, to give the monthly “History Enrichment Lecture” to the entire school. The topic of Timon’s lecture was Eu- rope between the two world wars. Timon’s lecture was factual, balanced, and nonopinion- ated, until, at the end of his lecture, he told the assembled students, ““We’ ve talked a lot this afternoon about the rise of fascism, but think about this: there is absolutely no qualitative difference between those uniforms you’re wearing and those worn by the Hitler Youth. If you had any gumption you’d organize a protest against having to wear them.” After the speech, Timon was called to the administrative office by the headmaster and fired on the spot, despite Timon’s protests that he had almost two years left on his contract. Timon requested a hearing and was curtly told to leave the premises of the school immediately. Charging that his constitutional rights had been violat","Unconstitutional, because by choosing not to exercise its right to impose a complete ban on the sale of tobacco products, the state can no longer claim that the regula- tion of advertising serves a substantial government interest.","Unconstitutional, because the right to ban all truthful advertising for a product is not automatically justified by the right to ban the sale of a product entirely.","Constitutional, because the state’s power to ban advertising for a product is implicit in its power to ban the product altogether. (D aS Constitutional, because the ban on advertis- ing constitutes a restriction on commercial speech that is rationally related to the legitimate state interest in reducing the use of tobacco products. GO ON TO THE NEXT PAGE","Driller, because the preferential hiring law impairs Driller’s rights under the Contract Clause of the federal Constitution. Question 8 In response to growing concern over public health issues, Congress passed legislation permitting states to completely ban the sale of cigarettes and other tobacco products. The legislation was subsequently upheld by the United States Supreme Court. The state of Jefferson, like most states, did not enact a complete ban on tobacco products. However, it passed a co",,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
8,mbe,mbe_0008,prompt_0008,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,24,,"CONSTITUTIONAL LAW Question 9 The citizens of Tidytown prided themselves on the neatness and beauty of the town of 30,000 people. This was reflected in the tough anti-litter ordinances that had been passed by the city council. Littering offenses carried fines of up to $500 and were always very strictly enforced. Center Park was located near the downtown business area of Tidytown. Signs at each of the park entrances, and on the many trash barrels situated throughout the park, carried conspicuous warnings against littering. On October 15, a group of students from nearby colleges chose Center Park in Tidytown as the site for their demonstration against the proliferation of weapons in space. Approxi- mately 125 students gathered in the park with placards and banners, and several speakers addressed the group. One of the speakers, Demagoga, during the course of her speech, walked to one of the trash barrels and dumped the contents out on the ground. As she did so, she told her listeners, “This is what outer space is starting to look like, cluttered with the trash of nuclear weapons.” The meeting broke up 15 minutes later. The students left the park peace- fully, but no one bothered to pick up the trash or right the overturned barrel. Demagoga was arrested pursuant to the Tidytown littering ordinance. She was fined $500 after her convic- tion. If Demagoga seeks to have her conviction set aside on constitutional grounds, she is likely to:","Constitutional, as a reasonable application of the Necessary and Proper Clause.","Constitutional, because regulation of state and local employees is within the ambit of federal power over interstate commerce.","Unconstitutional, because regulation of state and local employees is an issue reserved to the states.","Unconstitutional, because the state police power to promote health and safety pre- cludes federal action in this case. GO ON TO THE NEXT PAGE £",,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
9,mbe,mbe_0009,prompt_0009,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,26,,"CONSTITUTIONAL LAW Question 12 Large semi-trailer trucks ordinarily used either “Gripper” tires or “Grabber” tires. There was some difference in the design of the tires, and a number of tire manufacturers made both types of tires, which were deemed to be equally safe by independent testing labs. Most state statutes and vehicle regulations allowed the use of both types of tires on state highways. How- ever, State Plum and State Apricot had laws on their books permitting only Grippers and ban- ning Grabbers. State Grapefruit, on the other hand, had a statute allowing the use of Grabbers, and banning Grippers, on its state highways. The National Trucking Board, a trade associa- tion of interstate trucking firms, brought suit to have the laws of State Plum and State Apricot declared unconstitutional. The case eventually reached the United States Supreme Court, which struck down the Apricot and Plum statutes as undue burdens on interstate commerce. The National Trucking Board then brought suit in federal court to have the State Grapefruit statute banning Grippers struck down. The Grapefruit attorney general argued that the Grapefruit statute did not burden interstate commerce because Grabbers were now legal in all 50 states. The case eventually reached the United States Supreme Court. How should the Court rule on the constitu- tionality of the statute?","Not hear the matter, because no case or controversy exists.",Review the state court’s opinion and reverse it.,Review the state court’s opinion and affirm it.,"Not review the state court’s opinion, because it is based on an independent state ground. GO ON TO THE NEXT PAGE",,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
10,mbe,mbe_0010,prompt_0010,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,28,,"CONSTITUTIONAL LAW Question 16 Rupert held a majority ownership interest in one of the three daily newspapers in City, as well as numerous other media outlets across the country. When a popular City radio station was put on the market, he entered into negotiations to purchase it. However, the Federal Communi- cations Commission (“FCC”) blocked the sale on the basis of a regulation forbidding owner- ship of a radio or television station to any entity owning a daily newspaper in the same city. The next year, however, the FCC suspended enforce- ment of that regulation to permit the radio station to be sold to Sumner, the owner of another daily newspaper in City. Rupert filed an action in federal district court seeking to enjoin the sale. The court should:","Yes, because the Eleventh Amendment bars this type of action against a state by its citizens.","Yes, because a political question is in- volved.","No, because citizens have standing to challenge government expenditures that may violate the Establishment Clause.","No, because the lawsuit is not seeking damages from the state. STOP borori BAR REVIEW ®®@GOO - ®©OO - ®@©OO OR OROLO) ORORORO) ao Pond 6 @®OO 7 ®@®OO",,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
